Movie Name       Days from Release       Days       Box Office Collection 
Kesari               Day 44 - Day 50       04-05-2019 - 10-05-2019         200000               
Kesari               Day 51 - Day 57       11-05-2019 - 17-05-2019         100000               
Movie Name       Days from Release       Days       Box Office Collection 
Gully Boy            Day 1                 15-02-2019                      194000000            
Gully Boy            Day 2                 16-02-2019                      131000000            
Gully Boy            Day 3                 17-02-2019                      186500000            
Gully Boy            Day 4                 18-02-2019                      213000000            
Gully Boy            Day 5                 19-02-2019                      86500000             
Gully Boy            Day 6                 20-02-2019                      80500000             
Gully Boy            Day 7                 21-02-2019                      60500000             
Gully Boy            Day 8                 22-02-2019                      51000000             
Gully Boy            Day 9                 23-02-2019                      39000000             
Gully Boy            Day 10                24-02-2019                      70500000             
Gully Boy            Day 11                25-02-2019                      71000000             
Gully Boy            Day 12                26-02-2019                      24500000             
Gully Boy            Day 13                27-02-2019                      23000000             
Gully Boy            Day 14                28-02-2019                      21000000             
Gully Boy            Day 15                01-03-2019                      19000000             
Gully Boy            Day 16                02-03-2019                      11800000             
Gully Boy            Day 17                03-03-2019                      21000000             
Gully Boy            Day 18                04-03-2019                      25500000             
Gully Boy            Day 19                05-03-2019                      12800000             
Gully Boy            Day 20                06-03-2019                      6500000              
Gully Boy            Day 21                07-03-2019                      6000000              
Gully Boy            Day 22                08-03-2019                      5500000              
Gully Boy            Day 23                09-03-2019                      3500000              
Gully Boy            Day 24                10-03-2019                      5699999              
Gully Boy            Day 25                11-03-2019                      6500000              
Gully Boy            Day 26                12-03-2019                      2500000              
Gully Boy            Day 27                13-03-2019                      2000000              
Gully Boy            Day 28                14-03-2019                      2000000              
Gully Boy            Day 29                15-03-2019                      2000000              
Gully Boy            Day 30                16-03-2019                      1500000              
Gully Boy            Day 31                17-03-2019                      2500000              
Gully Boy            Day 32                18-03-2019                      3200000              
Gully Boy            Day 33                19-03-2019                      1200000              
Gully Boy            Day 34                20-03-2019                      1200000              
Gully Boy            Day 35                21-03-2019                      1100000              
Gully Boy            Day 36                22-03-2019                      1000000              
Gully Boy            Day 37 - Day 43       23-03-2019 - 29-03-2019         3300000              
Gully Boy            Day 44 - Day 50       30-03-2019 - 05-04-2019         1900000              
Gully Boy            Day 51 - Day 57       06-04-2019 - 12-04-2019         900000               
Gully Boy            Day 58 - Day 64       13-04-2019 - 19-04-2019         400000               
Movie Name       Days from Release       Days       Box Office Collection 
Total Dhamaal        Day 1                 23-02-2019                      165000000            
Total Dhamaal        Day 2                 24-02-2019                      204000000            
Total Dhamaal        Day 3                 25-02-2019                      255000000            
Total Dhamaal        Day 4                 26-02-2019                      98500000             
Total Dhamaal        Day 5                 27-02-2019                      87500000             
Total Dhamaal        Day 6                 28-02-2019                      70500000             
Total Dhamaal        Day 7                 01-03-2019                      65000000             
Total Dhamaal        Day 8                 02-03-2019                      47500000             
Total Dhamaal        Day 9                 03-03-2019                      70200000             
Total Dhamaal        Day 10                04-03-2019                      114500000            
Total Dhamaal        Day 11                05-03-2019                      60300000             
Total Dhamaal        Day 12                06-03-2019                      32000000             
Total Dhamaal        Day 13                07-03-2019                      30000000             
Total Dhamaal        Day 14                08-03-2019                      26000000             
Total Dhamaal        Day 15                09-03-2019                      17000000             
Total Dhamaal        Day 16                10-03-2019                      27599999             
Total Dhamaal        Day 17                11-03-2019                      39500000             
Total Dhamaal        Day 18                12-03-2019                      14000000             
Total Dhamaal        Day 19                13-03-2019                      11500000             
Total Dhamaal        Day 20                14-03-2019                      11000000             
Total Dhamaal        Day 21                15-03-2019                      10500000             
Total Dhamaal        Day 22                16-03-2019                      9500000              
Total Dhamaal        Day 23                17-03-2019                      16000000             
Total Dhamaal        Day 24                18-03-2019                      25000000             
Total Dhamaal        Day 25                19-03-2019                      4000000              
Total Dhamaal        Day 26                20-03-2019                      3000000              
Total Dhamaal        Day 27                21-03-2019                      3000000              
Total Dhamaal        Day 28                22-03-2019                      3000000              
Total Dhamaal        Day 29                23-03-2019                      3000000              
Total Dhamaal        Day 30                24-03-2019                      4000000              
Total Dhamaal        Day 31                25-03-2019                      5000000              
Total Dhamaal        Day 32                26-03-2019                      800000               
Total Dhamaal        Day 33                27-03-2019                      800000               
Total Dhamaal        Day 34                28-03-2019                      800000               
Total Dhamaal        Day 35                29-03-2019                      800000               
Total Dhamaal        Day 36 - Day 42       30-03-2019 - 05-04-2019         3900000              
Total Dhamaal        Day 43 - Day 49       06-04-2019 - 12-04-2019         1800000              
Total Dhamaal        Day 50 - Day 56       13-04-2019 - 19-04-2019         800000               
